股票代码,股票简称,现价(元),涨跌幅(%)
600793.SH,宜宾纸业,36.20,-0.14
603517.SH,绝味食品,36.17,-3.85
603266.SH,天龙股份,36.10,-2.77
603345.SH,安井食品,36.10,-10.00
002788.SZ,鹭燕医药,36.08,-5.38
300410.SZ,正业科技,36.08,-0.19
603578.SH,三星新材,36.04,-8.11
603696.SH,安记食品,35.93,-0.50
002796.SZ,世嘉科技,35.85,-4.91
603377.SH,东方时尚,35.85,-2.56
300327.SZ,中颖电子,35.82,-6.67
002035.SZ,华帝股份,35.75,0.06
300483.SZ,沃施股份,35.69,-3.59
603738.SH,泰晶科技,35.67,-2.97
300540.SZ,深冷股份,35.58,-4.99
300636.SZ,同和药业,35.50,-7.09
603630.SH,拉芳家化,35.48,-7.07
300196.SZ,长海股份,35.45,-1.53
002872.SZ,天圣制药,35.43,10.00
300470.SZ,日机密封,35.41,3.48
603887.SH,城地股份,35.39,-4.07
002819.SZ,东方中科,35.33,4.16
300620.SZ,光库科技,35.15,-8.03
603859.SH,能科股份,35.11,-9.91
603515.SH,欧普照明,35.10,0.80
300589.SZ,江龙船艇,35.06,-5.04
002335.SZ,科华恒盛,35.04,2.91
603337.SH,杰克股份,35.01,3.21
603866.SH,桃李面包,35.01,-2.75
600511.SH,国药股份,34.99,-1.77
603006.SH,联明股份,34.94,0.75
603569.SH,长久物流,34.93,-7.03
300226.SZ,上海钢联,34.90,0.00
600420.SH,现代制药,34.90,-1.19
002007.SZ,华兰生物,34.82,-0.26
002757.SZ,南兴装备,34.81,-3.76
300365.SZ,恒华科技,34.75,-3.20
002649.SZ,博彦科技,34.74,-2.83
603589.SH,口子窖,34.73,0.41
300638.SZ,广和通,34.72,-7.95
600682.SH,南京新百,34.71,-1.59
300596.SZ,利安隆,34.70,-6.52
002735.SZ,王子新材,34.64,-5.67
600486.SH,扬农化工,34.62,-1.28
002751.SZ,易尚展示,34.61,-2.75
002810.SZ,山东赫达,34.55,-4.95
603958.SH,哈森股份,34.32,-2.42
300433.SZ,蓝思科技,34.24,1.97
603717.SH,天域生态,34.22,-7.61
300630.SZ,普利制药,34.20,-2.29
603088.SH,宁波精达,34.12,-3.97
300605.SZ,恒锋信息,34.11,-7.91
603898.SH,好莱客,34.09,-1.76
002745.SZ,木林森,34.08,-2.15
300606.SZ,金太阳,34.03,-8.30
600566.SH,济川药业,34.00,3.53
601021.SH,春秋航空,33.96,4.36
603036.SH,如通股份,33.93,-7.22
600750.SH,江中药业,33.90,-2.36
002820.SZ,桂发祥,33.85,-9.40
000651.SZ,格力电器,33.82,2.18
002393.SZ,力生制药,33.80,-2.62
300334.SZ,津膜科技,33.80,-4.95
300308.SZ,中际装备,33.79,-3.18
603586.SH,金麒麟,33.67,-4.86
002223.SZ,鱼跃医疗,33.65,2.09
603686.SH,龙马环卫,33.64,0.00
603027.SH,千禾味业,33.62,-4.68
600053.SH,九鼎投资,33.61,-4.30
002867.SZ,周大生,33.52,-6.19
300652.SZ,雷迪克,33.50,10.02
300640.SZ,德艺文创,33.48,-6.32
603168.SH,莎普爱思,33.35,-3.67
603320.SH,迪贝电气,33.26,1.74
600338.SH,西藏珠峰,33.21,-0.03
300156.SZ,神雾环保,33.14,0.91
002530.SZ,丰东股份,33.10,-1.43
603777.SH,来伊份,33.09,-7.60
300625.SZ,三雄极光,33.05,-6.59
002856.SZ,美芝股份,32.95,-4.35
300366.SZ,创意信息,32.91,-1.47
002747.SZ,埃斯顿,32.86,-9.20
603660.SH,苏州科达,32.81,-6.66
300405.SZ,科隆精化,32.79,-3.16
000826.SZ,启迪桑德,32.77,-0.09
300069.SZ,金利华电,32.77,-1.41
002815.SZ,崇达技术,32.75,-4.77
002868.SZ,绿康生化,32.69,-6.95
002635.SZ,安洁科技,32.68,0.49
600201.SH,生物股份,32.68,-2.45
600600.SH,青岛啤酒,32.68,1.43
002624.SZ,完美世界,32.66,-3.09
002799.SZ,环球印务,32.54,-6.44
000869.SZ,张裕A,32.51,-0.88
002790.SZ,瑞尔特,32.48,-1.87
300635.SZ,达安股份,32.41,-7.40
300485.SZ,赛升药业,32.39,-1.10
002008.SZ,大族激光,32.34,0.00
002095.SZ,生意宝,32.18,-4.77
000062.SZ,深圳华强,32.09,-8.31
603118.SH,共进股份,32.08,-3.23
002808.SZ,苏州恒久,32.07,-6.06
